㐆斋文集,02105480-4
㐆斋诗集,02105486
㵎于集,02106373|02106375|02106376|02106377|02106378|02106381|02106382|02106383|02106384|02106385|02106386|02106387|02106388
䂬溪诗话,06070248
䂬溪诗话,06070248
䜱䜪亭后集,02105205-4
䜱䜪亭集,02105195-9
一切经音义,02076163-41
一切经音义,02076208-11
一山文集,06040968-2
一山文集,06040968-2
一峰文集,06045140-4
一峰文集,06045140-4
一瓢诗话,02109846
一笠庵北词广正谱,02110967-5
一笠庵新编一捧雪传奇,02111395
一笠庵汇编清忠谱传奇,02111397
一草亭目科全书,02093581
一镫精舍甲部藁,02106061
一飘斋诗存,02102485
丁卯集笺注,02099637-3
丁戊之閒行卷,02106652-2
丁戊笔记,02096567
丁文诚公奏稿,02083543-26
七修类稿,02095558-14
七修续稿,02095573
七十二家集,02106755|02106756|02106757|02106758|02106759|02106760|02106762|02106763|02106764|02106765|02106766|02106768|02106769|02106770|02106771|02106772|02106773|02106774|02106775|02106776|02106778|02106779|02106780|02106781|02106782|02106783|02106784|02106785|02106786|02106787|02106789|02106790|02106791|02106792|02106793|02106794|02106795|02106796|02106797|02106798|02106799|02106800|02106801|02106802|02106803|02106804|02106805|02106806|02106807|02106808|02106809|02106810|02106811|02106812|02106813|02106814|02106815|02106816|02106817|02106818|02106819|02106820|02106821|02106822|02106823|02106824|02106825|02106826|02106827|02106828|02106829|02106830|02106832|02106833|02106834|02106835|02106837|02106838|02106839|02106840|02106841|02106842|02106843|02106844|02106845|02106846|02106847|02106848|02106849|02106850|02106851|02106852|02106853|02106854|02106855|02106856|02106857|02106858|02106859|02106860|02106861|02106862|02106863|02106864|02106865|02106866|02106867|02106868|02106869|02106870|02106871|02106873|02106874|02106875|02106876|02106877|02106879|02106880|02106881|02106882|02106883|02106884|02106886|02106888|02106889|02106890|02106891|02106892|02106894|02106895|02106896|02106897|02106898|02106899|02106900
七十家赋钞,02107345|02107346|02107348|02107349
七国考,06049405-5
七录斋文钞,02103131-6
七录斋诗文合集,02101562-15
七录斋诗钞,02103128-2
七政推步,06054854-3
七略佚文,02091124
七略别录佚文,02091123
七经楼文钞,02105704-4
万世玉衡录,02091931-3
万卷堂书目,02091194
万历三大征考,02081848-2
万历会计录,02089169-33
万历武功录,02081851-13
万历疏钞,02082622-35
万历辛亥京察记事始末,02081840-7
万善花室文藁,02105040-5
